A Matrix
NN->couple 0.075407642439
JJ->couple 0.00655217451881
IN->couple 0.0117345380547
VB->couple 0.0635511946484
TO->couple 0.067702592338
DT->couple 0.0211977659361
PRP->couple 0.00399908598347
RB->couple 0.0804901998595
CC->couple 0.078161137105
NP->was nan
NN->was nan
JJ->was nan
IN->was nan
VB->was nan
TO->was nan
DT->was nan
PRP->was nan
RB->was nan
CC->was nan
NP->married 0.0759753832499
NN->married 0.00855278123969
JJ->married 0.0133195389896
IN->married 0.0475672117451
VB->married 0.00356720458835
TO->married 0.0442367369113
DT->married 0.0670700081061
PRP->married 0.00408704114158
RB->married 0.0614627275389
CC->married 0.0684103928961
NP->aug 0.000766541060293
NN->aug 0.0864188603487
JJ->aug 0.0432486249853
IN->aug 0.0741473793773
VB->aug 0.0208637563746
TO->aug 0.00407097638872
DT->aug 0.0690774046788
PRP->aug 0.0130490737295
RB->aug 0.0437850313439
CC->aug 0.0249277484824
NP->2 0.00197461429752
NN->2 0.0157705128315
JJ->2 0.0132560653584
IN->2 0.00913559843053
VB->2 0.000479040501894
TO->2 0.014805145983
DT->2 0.0152795957836
PRP->2 0.0157623876706
RB->2 0.00833508422162
CC->2 0.00194661063047
NP->1913 0.0743873812366
NN->1913 0.0259175361723
JJ->1913 0.00610915482554
IN->1913 0.0445042885404
VB->1913 0.0701366554603
TO->1913 0.0397755186688
DT->1913 0.0555177323849
PRP->1913 0.0550666542452
RB->1913 0.0397264088643
CC->1913 0.0815247960085
NP->they nan
NN->they nan
JJ->they nan
IN->they nan
VB->they nan
TO->they nan
DT->they nan
PRP->they nan
RB->they nan
CC->they nan
NP->have nan
NN->have nan
JJ->have nan
IN->have nan
VB->have nan
TO->have nan
DT->have nan
PRP->have nan
RB->have nan
CC->have nan
NP->a nan
NN->a nan
JJ->a nan
IN->a nan
VB->a nan
TO->a nan
DT->a nan
PRP->a nan
RB->a nan
CC->a nan
NP->son 0.0553147427236
NN->son 0.0765261390566
JJ->son 0.0231910460092
IN->son 0.0473992833229
VB->son 0.0883937252777
TO->son 0.0235394947636
DT->son 0.0465291661269
PRP->son 0.0374485399662
RB->son 0.010261250134
CC->son 0.0378080503022
NP->william 0.01582865808
NN->william 0.0451095873635
JJ->william 0.0492127797464
IN->william 0.0156819406833
VB->william 0.0233516593718
TO->william 0.051667272961
DT->william 0.0176987015582
PRP->william 0.0542756418723
RB->william 0.0364662034938
CC->william 0.0513844059371
NP->berry 0.039950201004
NN->berry 0.0167187402696
JJ->berry 0.0316857975738
IN->berry 0.00174003250054
VB->berry 0.0614474484671
TO->berry 0.0721294191754
DT->berry 0.0609332800674
PRP->berry 0.0291350833636
RB->berry 0.0588606648173
CC->berry 0.0281283126299
NP->jr nan
NN->jr nan
JJ->jr nan
IN->jr nan
VB->jr nan
TO->jr nan
DT->jr nan
PRP->jr nan
RB->jr nan
CC->jr nan
NP->and nan
NN->and nan
JJ->and nan
IN->and nan
VB->and nan
TO->and nan
DT->and nan
PRP->and nan
RB->and nan
CC->and nan
NP->a nan
NN->a nan
JJ->a nan
IN->a nan
VB->a nan
TO->a nan
DT->a nan
PRP->a nan
RB->a nan
CC->a nan
NP->daughter 0.0287066245299
NN->daughter 0.054932017296
JJ->daughter 0.0734041570835
IN->daughter 0.0546484519306
VB->daughter 0.0165653644779
TO->daughter 0.00703945844794
DT->daughter 0.0162308884381
PRP->daughter 0.0299870239919
RB->daughter 0.0673701251708
CC->daughter 0.024469547658
NP->mrs 0.00965768166176
NN->mrs 0.0227457811314
JJ->mrs 0.00359098827517
IN->mrs 0.0614928930479
VB->mrs 0.00466713974458
TO->mrs 0.0650416152911
DT->mrs 0.0419017826445
PRP->mrs 0.0210461440206
RB->mrs 0.010342938572
CC->mrs 0.0147986600973
NP->j 0.0222219720148
NN->j 0.0590004906284
JJ->j 0.0638099314291
IN->j 0.0765826827048
VB->j 0.0159831036406
TO->j 0.0665249322056
DT->j 0.00844931283776
PRP->j 0.0735161067861
RB->j 0.00450166269323
CC->j 0.0111690328959
NP->m 0.0445120806293
NN->m 0.00764809034252
JJ->m 0.0295071744244
IN->m 0.0327653189529
VB->m 0.000571381266542
TO->m 0.031362290549
DT->m 0.0172456192302
PRP->m 0.0327834729703
RB->m 0.0202142066666
CC->m 0.00249038812563
NP->cheshire 0.0090798023316
NN->cheshire 0.052252148939
JJ->cheshire 0.0655990444124
IN->cheshire 0.0544943840967
VB->cheshire 0.0435786885795
TO->cheshire 0.0406169573689
DT->cheshire 0.0260596264121
PRP->cheshire 0.0735613436307
RB->cheshire 0.0592153615637
CC->cheshire 0.0298744604643
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->griffin 0.0398897780225
NN->griffin 0.0456093902137
JJ->griffin 0.0478664881481
IN->griffin 0.0240457916693
VB->griffin 0.0298566790756
TO->griffin 0.0280438360805
DT->griffin 0.030675086377
PRP->griffin 0.0422996829078
RB->griffin 0.052304888706
CC->griffin 0.0415805697261
NP-> 0.0576155147741
NN-> 0.0455286921651
JJ-> 0.057286653258
IN-> 0.0177295352845
VB-> 0.0523560097744
TO-> 0.012885165813
DT-> 0.00354078219835
PRP-> 0.0538279702145
RB-> 0.0157681676407
CC-> 0.00696579805246
NP->attorneys 0.0423963712382
NN->attorneys 0.097027716205
JJ->attorneys 0.0460491806243
IN->attorneys 0.085208076852
VB->attorneys 0.156352687712
TO->attorneys 0.0625766518175
DT->attorneys 0.101535076453
PRP->attorneys 0.0498034787915
RB->attorneys 0.0826986988858
CC->attorneys 0.0887618602507
NP->for nan
NN->for nan
JJ->for nan
IN->for nan
VB->for nan
TO->for nan
DT->for nan
PRP->for nan
RB->for nan
CC->for nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->mayor 0.0400898668754
NN->mayor 0.0153853083205
JJ->mayor 0.0203904250809
IN->mayor 0.0315084500189
VB->mayor 0.0314661496602
TO->mayor 0.000979697750169
DT->mayor 0.0213366001116
PRP->mayor 0.0399297577662
RB->mayor 0.0448339407985
CC->mayor 0.0303672401805
NP->said nan
NN->said nan
JJ->said nan
IN->said nan
VB->said nan
TO->said nan
DT->said nan
PRP->said nan
RB->said nan
CC->said nan
NP->that nan
NN->that nan
JJ->that nan
IN->that nan
VB->that nan
TO->that nan
DT->that nan
PRP->that nan
RB->that nan
CC->that nan
NP->an nan
NN->an nan
JJ->an nan
IN->an nan
VB->an nan
TO->an nan
DT->an nan
PRP->an nan
RB->an nan
CC->an nan
NP->amicable 0.0942396968819
NN->amicable 0.0696791589189
JJ->amicable 0.0535053437685
IN->amicable 0.0579114363136
VB->amicable 0.0037219247824
TO->amicable 0.11858431671
DT->amicable 0.0240798249346
PRP->amicable 0.144505583949
RB->amicable 0.0749494429809
CC->amicable 0.0828252250838
NP->property 0.0124434402961
NN->property 0.0668871624308
JJ->property 0.0985741260819
IN->property 0.106535690416
VB->property 0.143910634527
TO->property 0.0901584859716
DT->property 0.0693242788583
PRP->property 0.0738790932138
RB->property 0.0206725242886
CC->property 0.10538273268
NP->settlement 0.0842864991531
NN->settlement 0.0857816475522
JJ->settlement 0.0847294669508
IN->settlement 0.0861512961269
VB->settlement 0.058870868468
TO->settlement 0.0743280582465
DT->settlement 0.0553573233776
PRP->settlement 0.079945612762
RB->settlement 0.024446186052
CC->settlement 0.0128491684618
NP->has nan
NN->has nan
JJ->has nan
IN->has nan
VB->has nan
TO->has nan
DT->has nan
PRP->has nan
RB->has nan
CC->has nan
NP->been nan
NN->been nan
JJ->been nan
IN->been nan
VB->been nan
TO->been nan
DT->been nan
PRP->been nan
RB->been nan
CC->been nan
NP->agreed 0.0590340280671
NN->agreed 0.0308808876348
JJ->agreed 0.0738224902142
IN->agreed 0.118706846202
VB->agreed 0.143930680078
TO->agreed 0.106507058224
DT->agreed 0.103871084773
PRP->agreed 0.00735471863436
RB->agreed 0.0854766158064
CC->agreed 0.0217997596721
NP->upon 0.00718185751915
NN->upon 0.0497759716867
JJ->upon 0.0464184437153
IN->upon 0.0182490862286
VB->upon 0.0180776813546
TO->upon 0.0970544448963
DT->upon 0.0876975563723
PRP->upon 0.134304147847
RB->upon 0.0123801871331
CC->upon 0.122701372924
NP-> 0.0576155147741
NN-> 0.0455286921651
JJ-> 0.057286653258
IN-> 0.0177295352845
VB-> 0.0523560097744
TO-> 0.012885165813
DT-> 0.00354078219835
PRP-> 0.0538279702145
RB-> 0.0157681676407
CC-> 0.00696579805246
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->petition 0.0752670707837
NN->petition 0.100663938952
JJ->petition 0.0884857668561
IN->petition 0.102027155956
VB->petition 0.0655839519556
TO->petition 0.00997509453294
DT->petition 0.0336708263068
PRP->petition 0.0942892514586
RB->petition 0.13766936647
CC->petition 0.0113467951232
NP->listed 0.00817884994162
NN->listed 0.0715835723209
JJ->listed 0.148059278196
IN->listed 0.0967404091846
VB->listed 0.083925301103
TO->listed 0.123842036649
DT->listed 0.118894026608
PRP->listed 0.111829667152
RB->listed 0.0750290586351
CC->listed 0.145912586504
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->mayors 0.0352315014481
NN->mayors 0.0224202067269
JJ->mayors 0.0389806440202
IN->mayors 0.012254084186
VB->mayors 0.0242765630614
TO->mayors 0.00139020135996
DT->mayors 0.0204904605835
PRP->mayors 0.0510763736899
RB->mayors 0.0133725244822
CC->mayors 0.0503865041283
NP->occupation 0.051228074785
NN->occupation 0.0224204200927
JJ->occupation 0.0153185088168
IN->occupation 0.0186200943141
VB->occupation 0.0588422879495
TO->occupation 0.0381299625921
DT->occupation 0.0351059175589
PRP->occupation 0.0316617155473
RB->occupation 0.0347509341972
CC->occupation 0.00496403940992
NP->as nan
NN->as nan
JJ->as nan
IN->as nan
VB->as nan
TO->as nan
DT->as nan
PRP->as nan
RB->as nan
CC->as nan
NP->attorney 0.113088262891
NN->attorney 0.0153529970646
JJ->attorney 0.156515074941
IN->attorney 0.128179559109
VB->attorney 0.0878191993586
TO->attorney 0.128231008378
DT->attorney 0.170527642937
PRP->attorney 0.016604764266
RB->attorney 0.113983214767
CC->attorney 0.0918582585532
NP->and nan
NN->and nan
JJ->and nan
IN->and nan
VB->and nan
TO->and nan
DT->and nan
PRP->and nan
RB->and nan
CC->and nan
NP->his 0.0118381316021
NN->his 0.00539462143962
JJ->his 0.0139187053188
IN->his 0.0564827432816
VB->his 0.029713040051
TO->his 0.0462893584031
DT->his 0.021932520407
PRP->his 0.0194242584702
RB->his 0.0379631086562
CC->his 0.0267511823986
NP->age 0.00365985641429
NN->age 0.00366912791866
JJ->age 0.000201178159076
IN->age 0.00425809080094
VB->age 0.00176381057743
TO->age 0.00302135577124
DT->age 0.00294148671923
PRP->age 0.000873664684553
RB->age 0.00233675753384
CC->age 0.00337920762247
NP->as nan
NN->as nan
JJ->as nan
IN->as nan
VB->as nan
TO->as nan
DT->as nan
PRP->as nan
RB->as nan
CC->as nan
NP->71 0.034573848828
NN->71 0.0286068899781
JJ->71 0.0270790082808
IN->71 0.0206517087263
VB->71 0.0667842073522
TO->71 0.0252427154243
DT->71 0.0257437949889
PRP->71 0.0314303737895
RB->71 0.0301363661175
CC->71 0.0508103582877
NP->it nan
NN->it nan
JJ->it nan
IN->it nan
VB->it nan
TO->it nan
DT->it nan
PRP->it nan
RB->it nan
CC->it nan
NP->listed 0.00817884994162
NN->listed 0.0715835723209
JJ->listed 0.148059278196
IN->listed 0.0967404091846
VB->listed 0.083925301103
TO->listed 0.123842036649
DT->listed 0.118894026608
PRP->listed 0.111829667152
RB->listed 0.0750290586351
CC->listed 0.145912586504
NP->his 0.0118381316021
NN->his 0.00539462143962
JJ->his 0.0139187053188
IN->his 0.0564827432816
VB->his 0.029713040051
TO->his 0.0462893584031
DT->his 0.021932520407
PRP->his 0.0194242584702
RB->his 0.0379631086562
CC->his 0.0267511823986
NP->wifes 0.0184290911612
NN->wifes 0.0203203835622
JJ->wifes 0.000911007030688
IN->wifes 0.0166704526048
VB->wifes 0.0565369704394
TO->wifes 0.00505995905614
DT->wifes 0.046389957145
PRP->wifes 0.0455827014298
RB->wifes 0.0496112923257
CC->wifes 0.0362214027573
NP->age 0.00365985641429
NN->age 0.00366912791866
JJ->age 0.000201178159076
IN->age 0.00425809080094
VB->age 0.00176381057743
TO->age 0.00302135577124
DT->age 0.00294148671923
PRP->age 0.000873664684553
RB->age 0.00233675753384
CC->age 0.00337920762247
NP->as nan
NN->as nan
JJ->as nan
IN->as nan
VB->as nan
TO->as nan
DT->as nan
PRP->as nan
RB->as nan
CC->as nan
NP->74 0.0546267732388
NN->74 0.0527173409158
JJ->74 0.00545274092269
IN->74 0.0233643666093
VB->74 0.00925610069918
TO->74 0.0743085784137
DT->74 0.0196442020889
PRP->74 0.0113166950239
RB->74 0.00475629128949
CC->74 0.0563365095582
NP->and nan
NN->and nan
JJ->and nan
IN->and nan
VB->and nan
TO->and nan
DT->and nan
PRP->and nan
RB->and nan
CC->and nan
NP->place nan
NN->place nan
JJ->place nan
IN->place nan
VB->place nan
TO->place nan
DT->place nan
PRP->place nan
RB->place nan
CC->place nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->birth 0.0617055276374
NN->birth 0.00290546897722
JJ->birth 0.0176257663615
IN->birth 0.0541728785059
VB->birth 0.0545806263479
TO->birth 0.0502483728983
DT->birth 0.0596837614052
PRP->birth 0.0220516061227
RB->birth 0.0166938685503
CC->birth 0.053142256431
NP->as nan
NN->as nan
JJ->as nan
IN->as nan
VB->as nan
TO->as nan
DT->as nan
PRP->as nan
RB->as nan
CC->as nan
NP->opelika 0.0451034182007
NN->opelika 0.0278999360671
JJ->opelika 0.0299876151867
IN->opelika 0.0612990511019
VB->opelika 0.028376655876
TO->opelika 0.0502037304709
DT->opelika 0.0578336475878
PRP->opelika 0.0546941044898
RB->opelika 0.0554407969916
CC->opelika 0.0495732356509
NP->ala 0.0521725847024
NN->ala 0.0229564855199
JJ->ala 0.0632358240901
IN->ala 0.0601359106685
VB->ala 0.060603002051
TO->ala 0.0294269074345
DT->ala 0.0489390859292
PRP->ala 0.0415023199808
RB->ala 0.0543554576415
CC->ala 0.0188778483171
NP-> 0.0576155147741
NN-> 0.0455286921651
JJ-> 0.057286653258
IN-> 0.0177295352845
VB-> 0.0523560097744
TO-> 0.012885165813
DT-> 0.00354078219835
PRP-> 0.0538279702145
RB-> 0.0157681676407
CC-> 0.00696579805246
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->petition 0.0752670707837
NN->petition 0.100663938952
JJ->petition 0.0884857668561
IN->petition 0.102027155956
VB->petition 0.0655839519556
TO->petition 0.00997509453294
DT->petition 0.0336708263068
PRP->petition 0.0942892514586
RB->petition 0.13766936647
CC->petition 0.0113467951232
NP->said nan
NN->said nan
JJ->said nan
IN->said nan
VB->said nan
TO->said nan
DT->said nan
PRP->said nan
RB->said nan
CC->said nan
NP->that nan
NN->that nan
JJ->that nan
IN->that nan
VB->that nan
TO->that nan
DT->that nan
PRP->that nan
RB->that nan
CC->that nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->couple 0.0730263123318
NN->couple 0.075407642439
JJ->couple 0.00655217451881
IN->couple 0.0117345380547
VB->couple 0.0635511946484
TO->couple 0.067702592338
DT->couple 0.0211977659361
PRP->couple 0.00399908598347
RB->couple 0.0804901998595
CC->couple 0.078161137105
NP->has nan
NN->has nan
JJ->has nan
IN->has nan
VB->has nan
TO->has nan
DT->has nan
PRP->has nan
RB->has nan
CC->has nan
NP->not nan
NN->not nan
JJ->not nan
IN->not nan
VB->not nan
TO->not nan
DT->not nan
PRP->not nan
RB->not nan
CC->not nan
NP->lived 0.00973364384723
NN->lived 0.00929456968519
JJ->lived 0.0281063477419
IN->lived 0.0437791707918
VB->lived 0.0398926811146
TO->lived 0.0866171688534
DT->lived 0.0286897275638
PRP->lived 0.0893960120684
RB->lived 0.088362284456
CC->lived 0.0615213321155
NP->together 0.0593698427417
NN->together 0.0711595527095
JJ->together 0.0560124348443
IN->together 0.0546877614556
VB->together 0.0901885239212
TO->together 0.00312123480359
DT->together 0.0499583605665
PRP->together 0.0870398773056
RB->together 0.0890352144441
CC->together 0.014944479881
NP->as nan
NN->as nan
JJ->as nan
IN->as nan
VB->as nan
TO->as nan
DT->as nan
PRP->as nan
RB->as nan
CC->as nan
NP->man 0.0644088981186
NN->man 0.0753547240904
JJ->man 0.0789308060115
IN->man 0.0644130496947
VB->man 0.0802855238099
TO->man 0.0341158278543
DT->man 0.0356367469544
PRP->man 0.0465792024664
RB->man 0.00163329812364
CC->man 0.0951538125681
NP->and nan
NN->and nan
JJ->and nan
IN->and nan
VB->and nan
TO->and nan
DT->and nan
PRP->and nan
RB->and nan
CC->and nan
NP->wife 0.0270019909339
NN->wife 0.0942750662234
JJ->wife 0.0480701335747
IN->wife 0.0655246052443
VB->wife 0.0662476700963
TO->wife 0.0476937378423
DT->wife 0.0144709302538
PRP->wife 0.0177078667007
RB->wife 0.100611915652
CC->wife 0.0857082074472
NP->for nan
NN->for nan
JJ->for nan
IN->for nan
VB->for nan
TO->for nan
DT->for nan
PRP->for nan
RB->for nan
CC->for nan
NP->more 0.0461517946822
NN->more 0.043929733742
JJ->more 0.0236935461537
IN->more 0.0356514057135
VB->more 0.0175869298091
TO->more 0.0389327865283
DT->more 0.00321855529882
PRP->more 0.0401453438755
RB->more 0.00320227661299
CC->more 0.0191177081821
NP->than 0.0124603352824
NN->than 0.0165546328263
JJ->than 0.00656220811118
IN->than 0.0437022340066
VB->than 0.0481599282248
TO->than 0.0145067081705
DT->than 0.03550828103
PRP->than 0.0185811081993
RB->than 0.0370748785862
CC->than 0.0358286754294
NP->a nan
NN->a nan
JJ->a nan
IN->a nan
VB->a nan
TO->a nan
DT->a nan
PRP->a nan
RB->a nan
CC->a nan
NP->year 0.0382877949234
NN->year 0.0196520586955
JJ->year 0.00563164152498
IN->year 0.049205490507
VB->year 0.0393800969841
TO->year 0.00765760685298
DT->year 0.00453326151803
PRP->year 0.0109313761088
RB->year 0.0236330238837
CC->year 0.00161261705645
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->hartsfield 0.0126194915242
NN->hartsfield 0.0520516011886
JJ->hartsfield 0.0402895933608
IN->hartsfield 0.0115472983579
VB->hartsfield 0.0108168316942
TO->hartsfield 0.00621843432353
DT->hartsfield 0.0334664340247
PRP->hartsfield 0.0262326848717
RB->hartsfield 0.0238774864261
CC->hartsfield 0.000730247693188
NP->home 0.00439580909659
NN->home 0.042679454353
JJ->home 0.0259537962525
IN->home 0.056101282301
VB->home 0.0367425287959
TO->home 0.0124974168351
DT->home 0.0599651602094
PRP->home 0.0436134386738
RB->home 0.063549807037
CC->home 0.0337229714892
NP->is nan
NN->is nan
JJ->is nan
IN->is nan
VB->is nan
TO->is nan
DT->is nan
PRP->is nan
RB->is nan
CC->is nan
NP->at nan
NN->at nan
JJ->at nan
IN->at nan
VB->at nan
TO->at nan
DT->at nan
PRP->at nan
RB->at nan
CC->at nan
NP->637 0.172571277242
NN->637 0.0402039404376
JJ->637 0.0588679338365
IN->637 0.145995052537
VB->637 0.130825270839
TO->637 0.17785433885
DT->637 0.0427217504079
PRP->637 0.0216194709776
RB->637 0.162550226138
CC->637 0.187335520938
NP->e 0.0373790172387
NN->e 0.113992964128
JJ->e 0.185185044076
IN->e 0.00597415064508
VB->e 0.0599276369282
TO->e 0.0534325236701
DT->e 0.166987645986
PRP->e 0.0529631758149
RB->e 0.13929969767
CC->e 0.111668427736
NP->pelham 0.0223596060832
NN->pelham 0.0842226401877
JJ->pelham 0.0274110639264
IN->pelham 0.0366424946746
VB->pelham 0.0525672853827
TO->pelham 0.0663642792481
DT->pelham 0.0826217976767
PRP->pelham 0.0725243490057
RB->pelham 0.0443095878175
CC->pelham 0.0558761881755
NP->rd 0.0910662786107
NN->rd 0.203913558977
JJ->rd 0.0661377849022
IN->rd 0.0959902094391
VB->rd 0.0730050010679
TO->rd 0.0704135481607
DT->rd 0.115633164296
PRP->rd 0.18207765318
RB->rd 0.0573213919655
CC->rd 0.00853448491424
NP->ne 0.0158139878555
NN->ne 0.251170233822
JJ->ne 0.146042552937
IN->ne 0.167919568239
VB->ne 0.178778348162
TO->ne 0.0594155431177
DT->ne 0.106882822502
PRP->ne 0.0265091647459
RB->ne 0.150270448589
CC->ne 0.114465687027
NP->henry 0.158217871676
NN->henry 0.163902474837
JJ->henry 0.0961607858368
IN->henry 0.115317520253
VB->henry 0.0789971574721
TO->henry 0.0442172104115
DT->henry 0.117760297302
PRP->henry 0.095258650122
RB->henry 0.127353166023
CC->henry 0.177875286792
NP->l 0.0836995973597
NN->l 0.149315429754
JJ->l 0.124196327869
IN->l 0.118542282671
VB->l 0.095705290281
TO->l 0.123880801078
DT->l 0.160802827471
PRP->l 0.0472415279992
RB->l 0.0115327466034
CC->l 0.105023816584
NP->bowden 0.128525770467
NN->bowden 0.0512466855566
JJ->bowden 0.0443192477736
IN->bowden 0.000166068750925
VB->bowden 0.0361244933721
TO->bowden 0.130314829923
DT->bowden 0.0964708721356
PRP->bowden 0.118062871096
RB->bowden 0.117441472247
CC->bowden 0.121167242518
NP->was nan
NN->was nan
JJ->was nan
IN->was nan
VB->was nan
TO->was nan
DT->was nan
PRP->was nan
RB->was nan
CC->was nan
NP->listed 0.00817884994162
NN->listed 0.0715835723209
JJ->listed 0.148059278196
IN->listed 0.0967404091846
VB->listed 0.083925301103
TO->listed 0.123842036649
DT->listed 0.118894026608
PRP->listed 0.111829667152
RB->listed 0.0750290586351
CC->listed 0.145912586504
NP->on nan
NN->on nan
JJ->on nan
IN->on nan
VB->on nan
TO->on nan
DT->on nan
PRP->on nan
RB->on nan
CC->on nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->petition 0.0752670707837
NN->petition 0.100663938952
JJ->petition 0.0884857668561
IN->petition 0.102027155956
VB->petition 0.0655839519556
TO->petition 0.00997509453294
DT->petition 0.0336708263068
PRP->petition 0.0942892514586
RB->petition 0.13766936647
CC->petition 0.0113467951232
NP->as nan
NN->as nan
JJ->as nan
IN->as nan
VB->as nan
TO->as nan
DT->as nan
PRP->as nan
RB->as nan
CC->as nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->mayors 0.0352315014481
NN->mayors 0.0224202067269
JJ->mayors 0.0389806440202
IN->mayors 0.012254084186
VB->mayors 0.0242765630614
TO->mayors 0.00139020135996
DT->mayors 0.0204904605835
PRP->mayors 0.0510763736899
RB->mayors 0.0133725244822
CC->mayors 0.0503865041283
NP->attorney 0.113088262891
NN->attorney 0.0153529970646
JJ->attorney 0.156515074941
IN->attorney 0.128179559109
VB->attorney 0.0878191993586
TO->attorney 0.128231008378
DT->attorney 0.170527642937
PRP->attorney 0.016604764266
RB->attorney 0.113983214767
CC->attorney 0.0918582585532
NP->hartsfield 0.0126194915242
NN->hartsfield 0.0520516011886
JJ->hartsfield 0.0402895933608
IN->hartsfield 0.0115472983579
VB->hartsfield 0.0108168316942
TO->hartsfield 0.00621843432353
DT->hartsfield 0.0334664340247
PRP->hartsfield 0.0262326848717
RB->hartsfield 0.0238774864261
CC->hartsfield 0.000730247693188
NP->has nan
NN->has nan
JJ->has nan
IN->has nan
VB->has nan
TO->has nan
DT->has nan
PRP->has nan
RB->has nan
CC->has nan
NP->been nan
NN->been nan
JJ->been nan
IN->been nan
VB->been nan
TO->been nan
DT->been nan
PRP->been nan
RB->been nan
CC->been nan
NP->mayor 0.0400898668754
NN->mayor 0.0153853083205
JJ->mayor 0.0203904250809
IN->mayor 0.0315084500189
VB->mayor 0.0314661496602
TO->mayor 0.000979697750169
DT->mayor 0.0213366001116
PRP->mayor 0.0399297577662
RB->mayor 0.0448339407985
CC->mayor 0.0303672401805
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->atlanta nan
NN->atlanta nan
JJ->atlanta nan
IN->atlanta nan
VB->atlanta nan
TO->atlanta nan
DT->atlanta nan
PRP->atlanta nan
RB->atlanta nan
CC->atlanta nan
NP->with nan
NN->with nan
JJ->with nan
IN->with nan
VB->with nan
TO->with nan
DT->with nan
PRP->with nan
RB->with nan
CC->with nan
NP->exception nan
NN->exception nan
JJ->exception nan
IN->exception nan
VB->exception nan
TO->exception nan
DT->exception nan
PRP->exception nan
RB->exception nan
CC->exception nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->one nan
NN->one nan
JJ->one nan
IN->one nan
VB->one nan
TO->one nan
DT->one nan
PRP->one nan
RB->one nan
CC->one nan
NP->brief 0.0375685986
NN->brief 0.0407345108045
JJ->brief 0.0200957332803
IN->brief 0.0101838921977
VB->brief 0.062157440975
TO->brief 0.0270722165139
DT->brief 0.0200527994102
PRP->brief 0.0383791385385
RB->brief 0.0605686778593
CC->brief 0.0122403705886
NP->interlude 0.0198940268907
NN->interlude 0.0599234887517
JJ->interlude 0.0285884943856
IN->interlude 0.0372588737921
VB->interlude 0.0456865189987
TO->interlude 0.0388960915581
DT->interlude 0.0536431812596
PRP->interlude 0.0360757168819
RB->interlude 0.0659550367884
CC->interlude 0.0195614775857
NP->since 0.0026180381965
NN->since 0.000142011973967
JJ->since 0.0619794171774
IN->since 0.0366871515393
VB->since 0.0305597644351
TO->since 0.0561087244564
DT->since 0.0439426581128
PRP->since 0.0395795529817
RB->since 0.0263110890422
CC->since 0.0486679515617
NP->1937 0.0338972804636
NN->1937 0.017947518819
JJ->1937 0.052828461941
IN->1937 0.0423334941556
VB->1937 0.0368847167376
TO->1937 0.0357710950622
DT->1937 0.0746158156399
PRP->1937 0.00930846567926
RB->1937 0.00269012290213
CC->1937 0.0173499879771
NP->his 0.0118381316021
NN->his 0.00539462143962
JJ->his 0.0139187053188
IN->his 0.0564827432816
VB->his 0.029713040051
TO->his 0.0462893584031
DT->his 0.021932520407
PRP->his 0.0194242584702
RB->his 0.0379631086562
CC->his 0.0267511823986
NP->political nan
NN->political nan
JJ->political nan
IN->political nan
VB->political nan
TO->political nan
DT->political nan
PRP->political nan
RB->political nan
CC->political nan
NP->career 0.0618105062152
NN->career 0.0451224668521
JJ->career 0.0555162201555
IN->career 0.0125760256754
VB->career 0.0382535291752
TO->career 0.0174474882894
DT->career 0.0603235735341
PRP->career 0.0334977820739
RB->career 0.0143241672895
CC->career 0.0357097731677
NP->goes 0.0419729173876
NN->goes 0.0275563930177
JJ->goes 0.0315798680637
IN->goes 0.0427207416383
VB->goes 0.0115144214961
TO->goes 0.061455564511
DT->goes 0.0193339008053
PRP->goes 0.0309188260357
RB->goes 0.0461424659038
CC->goes 0.0419798485621
NP->back 0.0630329861045
NN->back 0.0272776797954
JJ->back 0.0564991962413
IN->back 0.0521793677854
VB->back 0.0492572865495
